gene,mRNA_level
dnaA,2.61
dnaN,5.1
yaaA,2.24
recF,8.12
yaaB,7.29
gyrB,10.42
gyrA,9.18
guaB,16.2
dacA,4.3
yaaD,11.94
yaaE,20.23
serS,22.29
dck,5.27
dgk,3.41
tadA,0.41
dnaX,1.75
yaaK,5.44
recR,2.81
yaaL,4.2
bofA,0.76
xpaC,4.21
yaaN,5.26
yaaO,2.81
tmk,3.67
yaaQ,8.23
yaaR,7.37
holB,6.82
yaaT,10.51
yabA,13.51
yabB,1.69
yazA,1.84
yabC,2.01
abrB,51.41
metS,5.78
yabD,1.66
yabE,2.06
ksgA,1.33
veg,169.77
sspF,2.41
ipk,1.14
purR,7.31
yabJ,15.43
spoVG,78.28
glmU,4.18
prs,12.64
ctc,126.84
pth,8.7
yabK,9.45
mfd,4.44
spoVT,6.65
yabM,0.57
yabN,2.63
yabO,5.77
yabP,8.29
yabQ,6.33
divIC,12.91
yabR,14.52
yabS,0.52
tilS,3.17
hprT,7.27
ftsH,42.17
coaX,2.75
hslO,8.08
yacD,1.56
cysK,10.59
pabB,1.48
pabA,4.45
pabC,2.51
sul,4.07
folB,5.71
folK,5.7
yazB,7.19
dusB,6.66
lysS,9.96
ctsR,8.58
mcsA,10.56
mcsB,13.58
clpC,34.22
radA,3.63
yacK,3.97
yacL,6.48
ispD,7.83
ispF,2.39
gltX,12.96
cysE,2.21
cysS,4.42
mrnC,5.15
rlmB,4.98
yacP,4.71
sigH,6.54
rpmG,20.4
secE,20.15
nusG,2.62
rplK,219.37
rplA,104.26
rplJ,384.16
rplL,539.33
ybxB,4.16
rpoB,29.11
rpoC,62.8
ybxF,108.35
rpsL,125.2
rpsG,159.22
fusA,224.29
tufA,675.14
ybaC,0.57
rpsJ,138.59
rplC,144.86
rplD,194.93
rplW,258.54
rplB,271.19
rpsS,287.69
rplV,267.56
rpsC,243.14
rplP,261.82
rpmC,350.42
rpsQ,356.79
rplN,320.33
rplX,322.5
rplE,288
rpsN,339.16
rpsH,286.03
rplF,261.44
rplR,283.48
rpsE,262.01
rpmD,361.58
rplO,343.17
secY,252.47
adk,228.95
mapA,201
ybzG,258.85
infA,261.3
rpmJ,390.06
rpsM,224.78
rpsK,253.65
rpoA,225.67
rplQ,231.02
cbiO,10.26
cbiO,10.69
ybaF,9.39
truA,11.99
rplM,67.24
rpsI,88.71
ybaJ,2.95
salA,44.45
gerD,1.92
kbaA,1.33
ybaN,0.92
ybaR,1.02
ybaS,1.38
ybbA,3.64
feuC,5.63
feuB,8.13
feuA,17.88
ybbB,1.51
murQ,1.07
sigW,35.17
rsiW,35.97
ybbP,2.72
ybbR,3.93
glmM,9.66
glmS,22.19
skfA,2.65
ybzI,7.83
ybxG,1.7
cypC,0.95
ybyB,16.62
ybeC,11.38
glpQ,30.7
glpT,20.51
ybfE,1.39
ybfF,1.43
ybfG,2.45
purT,3.48
ybfK,1.41
pssA,5.6
ybfM,6.59
psd,6.25
ybfN,1.3
ybfO,1.57
ybfQ,7.32
nagP,4.48
nagBB,5.9
ybgB,1.22
ycbG,0.97
ycbJ,1.47
rtpA,0.69
ycbP,2.29
lmrB,0.48
yccF,2.58
yccK,1.24
rapJ,1.31
ycdF,0.76
ycdG,1.06
adcA,0.32
yceC,48.41
yceD,47.63
yceE,49.89
yceF,53.25
yceG,8.27
yceH,8.56
yceI,1.01
opuAA,1.7
opuAB,3.58
opuAC,5.49
amyE,2.16
ldh,458.71
lctP,243.59
mdr,1.13
nadE,21.95
aroK,1.84
ycgO,1.35
ycgQ,2.33
ycgT,3.36
nasF,5.27
nasE,3.33
nasD,1.28
yckA,3.97
yckB,2.41
nin,5.97
nucA,4.88
hxlB,1.24
hxlA,1.24
srfAA,24.15
srfAB,35.01
comS,56.24
srfAC,32.05
srfAD,38.01
yczE,0.86
tcyC,5.94
tcyB,5.56
tcyA,12.76
dtpT,3.28
yclK,1.33
rapC,3.99
phrC,22.37
yczN,38.52
yclN,8.79
yclO,11.45
yclP,16.04
yclQ,24.9
ycnB,0.94
ycnC,0.52
ycnD,4.44
ycnE,4.5
yczG,2.14
gabD,4.57
ycnI,2.77
ycnJ,1.48
ycnK,1
ycnL,1.23
mtlA,16.34
mtlF,20.95
mtlD,17.9
ycsA,7.77
sipU,3.27
yczH,2.61
ycsD,2.8
yczO,1.39
ycsE,3.05
ycsF,1.07
ycsG,0.88
ycsI,1.1
kipI,1.15
kipA,1.02
kipR,1.14
lipC,0.46
yczI,3.9
yczJ,1.54
pbpC,6.3
ycsN,11.42
mtlR,2.83
ydaD,0.66
ydaE,1.06
ydaG,12.91
ydzA,4.5
topB,2.98
ydaJ,0.43
ydaO,1.55
ydaP,1.79
ydzK,7.07
mntH,27.83
ydaS,4.43
gsiB,5.31
ydbD,1.34
dctB,0.98
dctP,5.73
ydbI,3.06
ydbJ,2.44
ydbK,3.68
ydbL,14.39
ydbM,1.94
ydbN,23.88
ydbO,5.51
ydbP,50.03
ddl,11.5
murF,4.39
cshA,17.71
ydbS,16.61
ydbT,13.61
ydcA,1.61
acpS,1.86
ydcC,1.46
alrA,4.09
endB,29.97
ndoA,32.61
rsbRA,3.37
rsbS,5.24
rsbT,5.24
rsbU,6.31
rsbV,34.31
rsbW,42.94
sigB,35.74
rsbX,25.62
ydcI,2.44
ydcK,0.54
yddK,5.25
phrI,1.55
yddQ,1
ydzM,1.03
cspC,117.01
ydeB,0.81
ydeN,1.14
ydzF,1.24
ydeO,2.19
ydeS,1.1
ydzO,1.57
ydfA,0.75
ydfG,7.4
nap,2.27
ydzR,1.4
ydgC,3.1
ydgD,2.8
ydgE,1.27
ydgF,2.75
dinB,1.25
ydgI,1.8
ydgJ,1.4
ydgK,0.89
ydhC,1.52
ydhE,2.06
ydhG,3.41
ydhK,2.33
pbuE,3.78
gmuB,2.51
gmuA,3.54
gmuC,2.41
gmuD,2.51
gmuR,3.21
gmuE,2.8
gmuF,2.83
gmuG,3.6
thiL,0.92
ydiB,1.37
ydiC,1.72
rimI,2.32
gcp,2.49
ydiF,2
moaC,2.49
ydiH,4.72
tatAY,15.64
tatCY,9.88
ydiK,4.17
ydiL,3.52
groES,300.72
groEL,267.5
ydiM,1.09
ydiO,2.46
ydiP,6.41
ydiR,3.76
ydiS,6.36
ydjA,6.36
ydjE,5.57
pspA,5.85
ydjG,5.74
ydjH,5.32
ydjI,6.68
bdhA,43.68
ydjM,1.12
ydjO,13.32
ydjP,7.62
yeaA,7.39
yeaD,0.98
yebA,1.49
guaA,9.93
pbuG,2.6
yebC,1.43
yebD,1.12
yebE,1.46
yebG,2.62
purE,1.26
purK,1.64
purB,3.31
purC,1.79
purS,2.34
purQ,1.72
purL,1.33
purF,1.56
purN,1.1
yerA,2.9
yerB,10.1
yerC,13.73
yerD,0.69
pcrA,2.01
ligA,4.05
yerH,7.7
