gene,mRNA_level
thrL,3032.01
thrA,5084.28
thrB,3226.2
thrC,3510.38
yaaX,400.518
yaaA,466.18
yaaJ,349.426
talB,4525.7
mog,643.246
yaaH,478.109
htgA,13.336
yaaW,253.938
yaaI,204.966
dnaK,3887.79
dnaJ,2436.43
yi82_1,457.019
yi81_1,926.339
hokC,N.D.
mokC,144.866
nhaA,892.993
nhaR,602.838
insB_1,N.D.
insA_1,453.985
rpsT,3857.3
yaaY,60.2018
ribF,2286.7
ileS,2306.29
lspA,1461.89
fkpB,1364.19
ispH,948.926
rihC,563.988
dapB,2280.43
carA,3761.72
carB,3701.77
caiF,643.68
caiE,89.8207
caiD,1209.44
caiC,335.796
caiB,557.848
caiA,630.109
caiT,82.8884
fixA,667.671
fixB,560.368
fixC,232.9
fixX,239.437
yaaU,2314.77
yabF,345.191
kefC,458.819
folA,903.541
apaH,1356.05
apaG,1356.25
ksgA,1284.72
pdxA,1421.16
surA,2666.28
imp,1931.74
djlA,1346.56
yabP,869.942
yabQ,1430.55
rluA,438.432
hepA,869.084
polB,265.527
araD,849.292
araA,157.245
araB,757.267
araC,285.48
yabI,511.56
yabJ,600.275
yabK,731.928
tbpA,1220.47
yabN,371.66
setA,1278.98
leuD,2697.74
leuC,3922.81
leuB,4377.77
leuA,3956.24
leuL,1641.06
leuO,130.859
ilvI,2225.63
ilvH,2697.66
fruL,1199.93
fruR,743.942
yabB,2813.31
yabC,1312.64
ftsL,1446.29
ftsI,1459.89
murE,1388.88
murF,1475.92
mraY,1222.52
murD,947.386
ftsW,1075.09
murG,824.73
murC,1016.19
ddlB,1679.35
ftsQ,1569.27
ftsA,3449.2
ftsZ,3177.63
lpxC,2916.24
yacA,1360.65
secA,1436.81
mutT,441.537
yacG,659.581
yacF,775.805
yacE,1193.96
guaC,2351.96
hofC,171.638
hofB,57.9395
ppdD,201.437
nadC,476.486
ampD,442.558
ampE,665.564
aroP,2488.35
pdhR,650.905
aceE,5633.12
aceF,4028.54
lpdA,4667.21
yacH,129.391
acnB,3099.57
yacL,1224.78
speD,2831.36
speE,2728.96
yacC,963.571
cueO,2136.47
gcd,785.746
hpt,1591.4
yadF,5210.87
yadG,1331.46
yadH,502.271
yadI,364.51
yadE,278.386
panD,2568.38
yadD,301.45
panC,990.495
panB,2303.57
yadC,112.273
yadK,69.1418
yadL,106.01
yadM,105.097
htrE,222.676
ecpD,45.2135
yadN,417.763
folK,702.112
pcnB,2807.29
yadB,247.799
dksA,2576.7
sfsA,2610.41
ligT,572.519
hrpB,873.325
mrcB,1028.44
fhuA,869.673
fhuC,1125.41
fhuD,607.131
fhuB,857.818
hemL,578.89
yadQ,807.912
yadR,1905.75
yadS,808.274
yadT,613.733
pfs,1045.02
dgt,233.307
degP,570.315
cdaR,333.076
yaeH,1972.34
yaeI,254.713
dapD,3394.6
glnD,1005.32
map,2018.52
rpsB,5584.52
tsf,5131.51
pyrH,3027.98
frr,2387.25
ispC,1064.97
uppS,1369.34
cdsA,684.717
yaeL,2612.52
yaeT,2773.08
hlpA,6006.5
lpxD,3189.16
fabZ,3217.18
lpxA,1869.15
lpxB,787.813
rnhB,1266.5
dnaE,2433.59
accA,2050.12
ldcC,673.195
yaeR,644.628
tilS,955.134
rof,910.004
yaeP,N.D.
yaeQ,1373.23
yaeJ,1556.58
cutF,1180.79
yaeF,491.758
proS,2236.46
yaeB,605.955
rcsF,1729.83
metQ,4705.18
metI,2228.71
metN,1613.98
gmhB,1463.48
dkgB,358.257
yafC,244.587
yafD,399.802
yafE,201.167
mltD,1442
gloB,494.686
yafS,482.118
rnhA,953.73
dnaQ,1003.54
yafT,86.1138
yafU,124.108
yafV,516.04
ykfE,2304.94
fadE,391.255
lpcA,1593.4
yafJ,1258.13
yafK,1731.44
yafQ,746.212
dinJ,1145.58
yafL,362.616
yafM,355.796
fhiA,167.352
mbhA,293.483
dinB,334.854
yafN,294.913
yafO,306.243
yafP,289.338
ykfJ,119.259
prfH,168.279
pepD,1496.1
gpt,1949.6
yafA,635.492
crl,3526.26
phoE,147.848
proB,1518.76
proA,2252.73
ykfI,94.6576
yafW,1038.97
ykfG,265.118
yafX,122.586
ykfF,523.561
ykfB,311.034
yafY,155.863
yafZ,136.266
ykfA,536.471
perR,373.389
yi91a,623.975
tra8_1,N.D.
ykfC,610.514
trs5_1,N.D.
mmuP,715.243
mmuM,966.292
afuC,508.642
afuB,380.633
insB_2,N.D.
insA_2,538.78
yagB,369.331
yagA,452.708
yagE,155.228
yagF,901.968
yagG,171.654
yagH,634.817
yagI,498.858
argF,2570.1
insB_3,N.D.
insA_3,N.D.
yagJ,218.126
yagK,120.766
yagL,113.194
yagM,74.7531
yagN,1533.69
intF,682.663
yagP,196.238
yagQ,249.824
yagR,289.675
yagS,728.924
